company,number_of_layoff_events,first_layoff_date,last_layoff_date,total_laid_off_all_events,average_days_between_layoffs
Loft,6,2020-03-27,2023-03-03,1289,214.2
Swiggy,5,2020-04-21,2023-01-20,2880,251.0
Uber,5,2020-05-06,2022-09-07,7585,213.5
WeWork,5,2020-03-28,2023-01-19,1150,256.8
Netflix,4,2022-04-28,2022-09-14,505,46.3
Ola,4,2020-05-20,2023-01-13,2800,322.7
Salesforce,4,2020-08-26,2023-01-04,10090,287.0
Shopify,4,2020-08-14,2022-09-01,1150,249.3
Patreon,4,2020-04-21,2022-09-13,151,291.7
Latch,4,2020-04-02,2022-08-02,335,284.0
Vedantu,4,2022-05-05,2022-12-07,1109,72.0
Bounce,4,2020-03-19,2023-01-06,490,341.0
Blend,4,2022-04-19,2023-01-10,860,88.7
Gopuff,4,2022-01-26,2022-10-19,2300,88.7
Zymergen,4,2020-05-13,2022-08-26,280,278.3
OYO,4,2020-04-25,2022-12-03,1850,317.3
Argo AI,4,2020-06-29,2022-11-01,682,285.0
Meesho,3,2020-04-08,2022-08-29,650,436.5
StockX,3,2020-04-23,2022-06-28,300,398.0
Pollen,3,2020-05-19,2022-08-10,269,406.5
Katerra,3,2020-04-02,2021-06-01,3074,212.5
Medly,3,2022-08-04,2023-02-08,0,94.0
Compass,3,2020-03-23,2022-09-20,1096,455.5
Crypto.com,3,2022-06-10,2023-01-12,2260,108.0
The Wing,3,2020-04-03,2022-08-31,56,440.0
Intercom,3,2020-05-20,2022-11-14,212,454.0
DataRobot,3,2020-03-27,2022-08-23,270,439.5
Delivery Hero,3,2021-12-22,2023-01-30,556,202.0
Redfin,3,2020-04-07,2022-11-09,1568,473.0
Doma,3,2022-05-10,2022-12-06,1075,105.0
RingCentral,3,2022-08-04,2023-01-17,80,83.0
Stitch Fix,3,2020-06-01,2023-01-05,1730,474.0
Pear Therapeutics,3,2022-07-25,2022-11-16,143,57.0
Ethos Life,3,2020-06-05,2023-02-21,108,495.5
Rivian,3,2020-06-02,2023-02-01,880,487.0
Sonder,3,2020-03-24,2023-03-01,750,536.0
Hopin,3,2022-02-10,2022-11-16,380,139.5
Hootsuite,3,2022-08-09,2023-01-18,520,81.0
Gemini,3,2022-06-02,2023-01-23,168,117.5
New Relic,3,2020-06-29,2022-08-18,290,390.0
ShareChat,3,2020-05-20,2023-01-16,701,485.5
Groupon,3,2020-04-13,2023-01-30,3800,511.0
Glossier,3,2020-08-07,2022-08-02,249,362.5
Trax,3,2020-05-03,2022-11-22,300,466.5
Coinbase,3,2022-06-14,2023-01-10,2110,105.0
Twitter,3,2022-11-04,2023-02-25,3940,56.5
Amazon,3,2022-10-28,2023-01-04,18150,34.0
Lyft,3,2020-04-29,2022-11-03,1742,459.0
Vroom,3,2022-05-09,2023-01-18,882,127.0
Bolt,3,2022-05-25,2023-02-21,307,136.0
Voi,3,2020-04-02,2022-12-07,265,489.5
Bustle Digital Group,3,2020-04-03,2023-02-01,43,517.0
Zeus Living,3,2020-03-24,2022-10-20,217,470.0
Bytedance,3,2021-01-27,2022-06-17,3750,253.0
Lattice,3,2020-05-15,2023-01-12,29,486.0
